timestamp,blink_count,fatigue_level,posture_status,productivity_score,focus_time_sec,entertainment_time_sec,break_count,active_session_sec,drowsiness_level,posture_score,wellness_score
2026-05-22 22:40:51,6,30.0,Bad,58.1,2,3,0,30,18.9,49.9,72.6
2026-05-22 22:41:21,26,0.0,Good,59.6,7,9,0,60,11.1,99.8,75.1
2026-05-22 22:41:51,39,15.0,Bad,69.3,14,14,0,90,3.3,74.7,80.8
2026-05-22 22:42:21,61,15.0,Bad,51.0,14,26,0,120,3.3,74.6,67.9
2026-05-22 23:02:30,11,0.0,Bad,100.0,14,0,0,30,7.8,74.8,99.2
2026-05-22 23:03:00,32,40.0,Bad,100.0,28,0,0,60,44.4,74.6,98.9
